Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/01/2021,08/01/2021,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
08/01/2021,08/01/2021,Payment Thank You - Web,,Payment,143.99,
07/30/2021,08/01/2021,NORTHWEST SEAFOOD AT TIOG,Groceries,Sale,-19.54,
07/28/2021,07/30/2021,KILWINS GAINESVILLE,Food & Drink,Sale,-10.81,
07/28/2021,07/30/2021,KILWINS GAINESVILLE,Food & Drink,Sale,-49.18,
07/29/2021,07/30/2021,CLAY ELECTRIC COOPERATIV,Bills & Utilities,Sale,-84.00,
07/27/2021,07/28/2021,Payment Thank You-Mobile,,Payment,206.90,
07/26/2021,07/27/2021,PUBLIX #306,Groceries,Sale,-20.18,
07/26/2021,07/27/2021,CFX   VES WEBSITE,Travel,Sale,-5.78,
07/26/2021,07/26/2021,Payment Thank You-Mobile,,Payment,285.96,
07/24/2021,07/26/2021,D&amp;B GAINESVILLE 165,Food & Drink,Sale,-6.26,
07/24/2021,07/26/2021,D&amp;B GAINESVILLE 165,Food & Drink,Sale,-52.00,
07/25/2021,07/26/2021,SAMSCLUB #8155,Shopping,Sale,-99.76,
07/25/2021,07/26/2021,SAMSCLUB #8155,Gas,Sale,-22.92,
07/23/2021,07/25/2021,Mint Mobile,Bills & Utilities,Sale,-186.65,
07/22/2021,07/25/2021,OASIS CAR WASH,Automotive,Sale,-2.00,
07/24/2021,07/25/2021,MOMOYAKI,Food & Drink,Sale,-45.77,
07/22/2021,07/25/2021,IRONWOOD GOLF COURSE,Entertainment,Sale,-11.00,
07/24/2021,07/25/2021,THE KNOT CLIMBING GYM,Health & Wellness,Sale,-20.00,
07/22/2021,07/25/2021,OASIS CAR WASH,Automotive,Sale,-2.05,
07/22/2021,07/25/2021,OASIS CAR WASH,Automotive,Sale,-2.00,
07/20/2021,07/21/2021,WAL-MART #1081,Groceries,Sale,-16.49,
07/20/2021,07/20/2021,Payment Thank You-Mobile,,Payment,839.80,
07/17/2021,07/19/2021,GAINESVILLE VISION,Health & Wellness,Sale,-623.20,
07/18/2021,07/19/2021,SAMS CLUB #8155,Gas,Sale,-21.75,
07/18/2021,07/19/2021,SAMS CLUB #8155,Shopping,Sale,-4.79,
07/17/2021,07/19/2021,IRONWOOD GOLF COURSE,Entertainment,Sale,-11.00,
07/18/2021,07/19/2021,SAMSCLUB #8155,Shopping,Sale,-38.59,
07/17/2021,07/19/2021,PUBLIX #735,Groceries,Sale,-7.05,
07/17/2021,07/19/2021,PUBLIX #735,Groceries,Sale,-39.34,
07/16/2021,07/18/2021,AMZN Mktp US*2E95B9MH1,Shopping,Sale,-6.37,
07/17/2021,07/18/2021,CNP* Allure Beauty Box,Bills & Utilities,Sale,-24.61,
07/17/2021,07/18/2021,AMZN Mktp US*2E0W67TL0,Shopping,Sale,-39.58,
07/17/2021,07/18/2021,Amazon.com*2E3Q985W1,Shopping,Sale,-13.90,
07/17/2021,07/18/2021,AMZN Mktp US*2E6WX2T50,Shopping,Sale,-9.62,
07/17/2021,07/18/2021,Payment Thank You-Mobile,,Payment,229.83,
07/15/2021,07/16/2021,AMZN Mktp US*2E9H18PS1,Shopping,Sale,-11.76,
07/15/2021,07/16/2021,CHEVRON 0042060,Gas,Sale,-7.05,
07/15/2021,07/16/2021,Mint Mobile,Bills & Utilities,Sale,-186.65,
07/13/2021,07/15/2021,Amazon.com*294TK27Z2,Shopping,Sale,-17.32,
07/14/2021,07/15/2021,CHEVRON 0042060,Gas,Sale,-7.05,
